name,value,year,lastValue,rank
Saudi Telecom,99.993103,2019,99.993103,0
Etihad Etisalat Co.,18.651724,2019,18.651724,0
Saudi Electricity Company,16.304137,2019,16.304137,0
The Company for Cooperative Insurance,60.655172,2019,60.655172,0
National Agricultural Development Co.,27.902586,2019,27.902586,0
AL Gassim Investment Holding Co.,11.350344,2019,11.350344,0
Tabuk Agricultural Development Co.,10.391379,2019,10.391379,0
Saudi Fisheries Co.,66.732758,2019,66.732758,0
Ash-Sharqiyah Development Co.,51.360344,2019,51.360344,0
Al-Jouf Agricultural Development Co.,22.33,2019,22.33,0
Jazan Energy and Development Co.,13.97,2019,13.97,0
Al Rajhi Bank,99.191379,2019,99.191379,0
Bank Albilad,29.175,2019,29.175,0
Arab National Bank,35.452586,2019,35.452586,0
Bank Aljazira,16.011379,2019,16.011379,0
Riyad Bank,22.10931,2019,22.10931,0
The Saudi British Bank,36.311206,2019,36.311206,0
Samba Financial Group,36.117241,2019,36.117241,0
Banque Saudi Fransi,35.906034,2019,35.906034,0
Alawwal Bank,16.257586,2019,16.257586,0
The Saudi Investment Bank,19.050689,2019,19.050689,0
Arabian Cement Co.,24.13,2019,24.13,0
Eastern Province Cement Co.,23.542931,2019,23.542931,0
The Qassim Cement Company,36.75431,2019,36.75431,0
Saudi Cement Company,55.338793,2019,55.338793,0
Southern Province Cement Co.,41.491379,2019,41.491379,0
Tabuk Cement Co.,12.123448,2019,12.123448,0
Yamama Cement Company,14.038275,2019,14.038275,0
Yanbu Cement Co.,27.516379,2019,27.516379,0
Al Ahsa Development Co.,10.130517,2019,10.130517,0
Almarai Company,54.006896,2019,54.006896,0
Alujain Corporation,22.817241,2019,22.817241,0
Saudi Arabian Amiantit Co.,6.396379,2019,6.396379,0
Saudi Cable Company,45.495689,2019,45.495689,0
Saudi Ceramic Co.,20.08862,2019,20.08862,0
Filling and Packing Materials Manufacturing Co.,33.85431,2019,33.85431,0
Wafrah for Industry & Development Co.,15.621724,2019,15.621724,0
National Gas & Industrialization Co.,29.541379,2019,29.541379,0
The National Company For Glass Industries,18.275517,2019,18.275517,0
National Gypsum Company,12.03862,2019,12.03862,0
National Industrialization Co. - NIC ,16.265862,2019,16.265862,0
National Metal Manufacturing and Casting Co.,17.604137,2019,17.604137,0
